model,base_model,thinking_alias,mood_tag,n_model,n_human,count_model,count_human,prevalence_model,prevalence_human,diff_model_minus_human,diff_ci_low,diff_ci_high,p_fisher,q_fdr_global
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Tenderness,571,591,35,37,0.06129597197898424,0.06260575296108291,-0.0013097809820986697,-0.029033105425881084,0.026413543461683744,1.0,1.0
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Nostalgia,571,591,309,84,0.5411558669001751,0.14213197969543148,0.3990238872047437,0.3493939107686953,0.44865386364079207,1.1128228293724955e-48,1.0015405464352461e-47
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Peacefulness,571,591,72,68,0.12609457092819615,0.11505922165820642,0.011035349269989725,-0.02642428596033214,0.04849498450031159,0.5892805356585131,0.6119451716453791
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Power,571,591,103,108,0.18038528896672504,0.18274111675126903,-0.00235582778454399,-0.046689421322139345,0.041977765753051365,0.939420835101617,0.9571457565186287
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Joyful activation,571,591,70,86,0.12259194395796848,0.1455160744500846,-0.022924130492116127,-0.06206371211616531,0.016215451131933054,0.2640291021224186,0.30015940030759164
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Tension,571,591,395,56,0.691768826619965,0.09475465313028765,0.5970141734896773,0.5523811934541941,0.6416471535251606,5.4574358663268644e-105,1.4735076839082535e-103
Gemini 3.1 Flash Lite (thinking),Gemini 3.1 Flash Lite,thinking,Sadness,571,591,77,32,0.13485113835376533,0.05414551607445008,0.08070562227931524,0.04727193902506968,0.1141393055335608,2.710462673390823e-06,4.961524893664557e-06
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Wonder,571,591,26,37,0.04553415061295972,0.06260575296108291,-0.017071602348123188,-0.043030574036443614,0.008887369340197234,0.24341224648731422,0.2796651342620206
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Transcendence,571,591,0,35,0.0,0.05922165820642978,-0.05922165820642978,-0.07825198595680222,-0.04019133045605734,4.094325330256501e-11,1.0283421759714004e-10
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Tenderness,571,591,25,37,0.043782837127845885,0.06260575296108291,-0.018822915833237024,-0.044574382341071195,0.006928550674597148,0.19137588877260275,0.22224296760689352
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Nostalgia,571,591,272,84,0.4763572679509632,0.14213197969543148,0.33422528825553177,0.28451845271429493,0.3839321237967686,4.8438359007030796e-36,3.269589232974579e-35
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Peacefulness,571,591,45,68,0.07880910683012259,0.11505922165820642,-0.03625011482808384,-0.07016590500338846,-0.0023343246527792183,0.038016307875207773,0.04561956945024933
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Power,571,591,63,108,0.11033274956217162,0.18274111675126903,-0.0724083671890974,-0.1127962492864412,-0.032020485091753606,0.0004966556380610748,0.0007057738014552116
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Joyful activation,571,591,42,86,0.07355516637478109,0.1455160744500846,-0.07196090807530352,-0.10755172472545979,-0.036370091425147244,0.0001087221457828872,0.0001608492019801619
Gemini 3.1 Flash Lite (non-thinking),Gemini 3.1 Flash Lite,non-thinking,Tension,571,591,351,56,0.6147110332749562,0.09475465313028765,0.5199563801446686,0.4735775900879533,0.5663351702013839,7.804890772979233e-83,1.0536602543521964e-81
